"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","kn"
"262","8.5","2",0.25,"n",0.225806451612903,0.0574448132072585,4.8,17.4,31,0.0774996901503023,1.3
"263","10","2",0.291666666666667,"n",0.259259259259259,0.0851740197641718,4.3,22,27,0.112063315447455,1.3
"264","11.4","2",0.318181818181818,"n",0.269230769230769,0.0975313291495229,4.2,24.4,26,0.137256635097068,1.3
"265","12.8","2",0.28,"n",0.233333333333333,0.0734807024565158,6,23.5,30,0.153035207978953,1.3
"266","14.3","2",0.304347826086957,"n",0.25,0.0891714273953147,5.7,27.1,28,0.184258591645921,1.3
"267","15.7","2",0.233333333333333,"n",0.2,0.0527245128719696,9.7,22.9,35,0.191424223305194,1.3
"268","17.1","2",0.127272727272727,"n",0.11864406779661,0.00844894174837575,26.7,0,59,0.162498431717372,1.3
"269","18.6","2",0.12962962962963,"n",0.11864406779661,0.00890637306451266,28.1,0,59,0.179341165253211,1.3
"270","20","2",0.12962962962963,"n",0.11864406779661,0.0091132135123259,29.8,0,59,0.199404034954092,1.3
"271","7.1","0",0,"a",0,0.0351654643962397,5.6,12.8,36,0.0519611223828166,1.3
"272","8.5","0",0,"a",0,0.0574448132072585,4.8,17.4,31,0.0774996901503023,1.3
"273","10","0",0,"a",0,0.0851740197641718,4.3,22,27,0.112063315447455,1.3
"274","11.4","0",0,"a",0,0.0975313291495229,4.2,24.4,26,0.137256635097068,1.3
"275","12.8","0",0,"a",0,0.0734807024565158,6,23.5,30,0.153035207978953,1.3
"276","14.3","0",0,"a",0,0.0891714273953147,5.7,27.1,28,0.184258591645921,1.3
"277","15.7","0",0,"a",0,0.0527245128719696,9.7,22.9,35,0.191424223305194,1.3
"278","17.1","0",0,"a",0,0.00844894174837575,26.7,0,59,0.162498431717372,1.3
"279","18.6","0",0,"a",0,0.00890637306451266,28.1,0,59,0.179341165253211,1.3
"280","20","0",0,"a",0,0.0091132135123259,29.8,0,59,0.199404034954092,1.3
"281","7.1","1",0,"a",0,0.0351654643962397,5.6,12.8,36,0.0519611223828166,1.3
"282","8.5","1",0,"a",0,0.0574448132072585,4.8,17.4,31,0.0774996901503023,1.3
"283","10","1",0,"a",0,0.0851740197641718,4.3,22,27,0.112063315447455,1.3
"284","11.4","1",0,"a",0,0.0975313291495229,4.2,24.4,26,0.137256635097068,1.3
"285","12.8","1",0,"a",0,0.0734807024565158,6,23.5,30,0.153035207978953,1.3
"286","14.3","1",0,"a",0,0.0891714273953147,5.7,27.1,28,0.184258591645921,1.3
"287","15.7","1",0,"a",0,0.0527245128719696,9.7,22.9,35,0.191424223305194,1.3
"288","17.1","1",0,"a",0,0.00844894174837575,26.7,0,59,0.162498431717372,1.3
"289","18.6","1",0,"a",0,0.00890637306451266,28.1,0,59,0.179341165253211,1.3
"290","20","1",0,"a",0,0.0091132135123259,29.8,0,59,0.199404034954092,1.3
"291","7.1","2",1,"a",0.0833333333333333,0.0351654643962397,5.6,12.8,36,0.0519611223828166,1.3
"292","8.5","2",1,"a",0.0967741935483871,0.0574448132072585,4.8,17.4,31,0.0774996901503023,1.3
"293","10","2",1,"a",0.111111111111111,0.0851740197641718,4.3,22,27,0.112063315447455,1.3
"294","11.4","2",1,"a",0.153846153846154,0.0975313291495229,4.2,24.4,26,0.137256635097068,1.3
"295","12.8","2",1,"a",0.166666666666667,0.0734807024565158,6,23.5,30,0.153035207978953,1.3
"296","14.3","2",1,"a",0.178571428571429,0.0891714273953147,5.7,27.1,28,0.184258591645921,1.3
"297","15.7","2",1,"a",0.142857142857143,0.0527245128719696,9.7,22.9,35,0.191424223305194,1.3
"298","17.1","2",1,"a",0.0677966101694915,0.00844894174837575,26.7,0,59,0.162498431717372,1.3
"299","18.6","2",1,"a",0.0847457627118644,0.00890637306451266,28.1,0,59,0.179341165253211,1.3
"300","20","2",1,"a",0.0847457627118644,0.0091132135123259,29.8,0,59,0.199404034954092,1.3
